thread_id,url,title,question,answer,all_answers,tags,created_at,updated_at
,,Ed Guidelines & Ediquette,"Important: Ed Guidelines &amp; EdiquetteWelcome everyone!We’re excited to be your TAs this semester and hope you all are ready for a fun ride. We use Ed because it’s an incredibly valuable resource for students (ask questions, send updates/notices, etc.). In order to make Ed as efficient and effective as possible, we ask that you please follow these guidelines:BEFORE POSTING1. SEARCH BEFORE POSTINGBefore posting, please try to find if there are already similar Ed posts by searching one or two keywords related to your question and looking through our FAQ documents.2. Use other resources (lectures, textbook, other Ed posts, etc…) available to you before making a post on EdBefore you post on Ed, please take some time to attempt to debug and fully understand your problem. Using the resources and debugging techniques you have learned in office hours or recitation may allow you to answer your own question or make it easier for us to help you.DRAFTING POSTS3. DO NOT POST YOUR CODE PUBLICLYYou should never share your own code publicly. In general, try to refrain from posting code unless necessary. When appropriate, a TA may ask you to share your code privately to help answer your question(s).4. Format code using Ed’s code block formatFor readability purposes, if you are including code in a post please use the code block format (denoted by {;} symbol in the toolbar above the textbox). It should look like the following:let s : string = ""Hello, World!"" ;; print_endline(s) If the code is too long, feel free to attach a screenshot of your code complete with line numbers (make sure it is only visible to instructors).5. Use the folders!When making a post, organize it into the appropriate folder. This will help TAs and other students find your posts, and helps to keep things organized between assignments and exams.6. Be respectfulWe want everyone to have a great time in CIS1200 so please be respectful to course staff and your fellow classmates! Disrespectful posts will not be tolerated!AFTER POSTING7. Marking follow-ups as “unresolved”If you post a question and decide later that you have a follow-up question, you can either edit your original post (only if you have not yet received a response) or post a followup question in the followup discussion section below your post.Please do not answer your own question with your followup question because this marks your question as resolved and the TAs will likely miss your question 😦. On that note, if you post in the followup discussion section, do not forget to mark this discussion thread as unresolved!8. Gradescope and the TAs are not your debugger.We cannot help with failing Gradescope tests without a failing test of your own. When you submit homework on Gradescope, you will be given the name of the first failing test only. We cannot help you interpret the name or what it’s testing for, and we cannot tell you any information beyond that about other failing tests. If you fail a test on Gradescope, you will need to write your own tests for it before posting on Ed or coming to OH.9. Help your classmates!If you see a question and think you can answer it, please do! This’ll help you learn the material as well!As always, please be respectful to your fellow classmates and CIS1200 staff. If you have any additional questions, feel free to let us know!Happy coding!",,,General,,
,,Office Hours Guidelines and Etiquette,"Important: Office Hours Guidelines &amp; EtiquetteOffice hours will start on Tuesday, September 2nd. Office hours for CIS1200 are often busy, so we publish these guidelines for TA office hours to ensure you are helped equitably and efficiently. TA office hours are in-person and you will use OHQ to join the queue in order to be helped.GuidelinesOffice hours are for conceptual and debugging help. Explain to your TA what you have already reviewed in terms of content or tried in terms of debugging. If you haven’t reviewed the lecture content or tried thoroughly debugging on your own, you’re not ready for additional help.Prepare for office hours. TAs will aim to spend five to ten minutes with you, so maximize the help you get by having clear questions prepared.If you do have a tough bug, your TA might ask other TAs to help debug or ask you to post on Ed. However, asking more TAs to help means longer wait times on the queue. Be respectful of your fellow students’ time by having a clear and specific question in mind for your TA!If you encounter an unfamiliar bug, search Ed for related keywords. You will save yourself a lot of time spent debugging and waiting on the queue!As seen in the Ed guidelines, the TAs and Gradescope are not your debugger. If you fail a test on Gradescope, you must write your own failing test for a TA to be able to help you with your code.Recommendations and What to ExpectYou may already be familiar with OHQ, but here are some tips to ensure that everything goes smoothly and efficiently:Have a clear and specific question ready. Consider keeping a list of the things that you want to talk about with a TA.Continue to attempt to debug while you are in the queue. Sometimes students can find the bug before the TA gets to them!Here is what you should do when you’re with a TA:Describe your bug and the steps taken to produce it, or describe your conceptual question.Explain what you think the problem is and what steps you have taken to solve it. Do not simply say that something doesn’t work. We are here to help you learn how to debug effectively and think like a programmer – not to do your assignment.Here is what to expect when the office hours queue gets long:Your TA may pass your question along to other TAs if it takes more than 10-15 minutes to help debug (this shouldn’t be the case if your question is clear and specific).When the queue is busy, we may enforce limits on how often students can ask questions in the queue. This prevents small numbers of students from occupying office hours at the exclusion of everyone else.We will clear the queue (remove any remaining questions from the queue) when scheduled office hours end.Looking forward to meeting many of you at office hours!",,,General,,
,,CIS 1200 Advising Hours,"Hi everyone!As part of the CIS 1200 Wellness Committee, students can sign up for CIS 1200 Advising Hours, designed to offer guidance for anything not directly related to course material. These optional sessions provide an opportunity for students to ask Teaching Assistants questions such as:Course tips and study plansGeneral advice about navigating Penn’s academic and extracurricular resourcesAdvising Hours are intended to support your broader academic well-being and offer any informal guidance on your studies. We want to be as much of a resource as possible!Sign up for a slot here: https://calendar.app.google/AohZDUyptP1N5hkUA",Are the locations of Advising Hours corresponding TA's Rec. Locations?,"Are the locations of Advising Hours corresponding TA's Rec. Locations?

---

The Calendly link doesn't work anymore",Wellness,,
,,"Final Exam Review Session on Tuesday, December 9, 10am-2pm","Hello all,The review session for the final exam will be Tuesday, December 9 in the Amy Gutmann Hall Main Auditorium. We will be hosting a mock exam portion that will run from 10am to 12pm and the actual review session will begin promptly at 12pm. We will be going over the final exam from  from Fall 2022, linked below. Printed, physical copies of the exam will be provided so that you may simulate an actual testing environment with a timer and proctors. Once the testing period is complete, we review the material as a group. As always, the review session will be recorded and posted barring technical difficulties. We cannot guarantee that there will not be technical difficulties, so if you can come in person, then please do! Plus - it gives you the opportunity to ask questions IRL. Congratulations on making it so far in the course. You're almost at the finish line!","If we cannot come at 10 am exactly, can we still come in to the proctored portion and just take the exam with less time?","Will the mock exam + answer key be posted as a pdf online too?

---

If we cannot come at 10 am exactly, can we still come in to the proctored portion and just take the exam with less time?

---

the pdfs dont have the appendix. where can we find them",Exams,,
,,OH,Will there be OH today? Thanks!,Yup! Today's the last day for official OH. It will be 4-9pm in AGH 203.,Yup! Today's the last day for official OH. It will be 4-9pm in AGH 203.,General,,
,,23 fa Final 1.a,I dont understand how this question is false as doesn't reference equality imply structural equality. Thank you!,What if I override .equals to check if s != t?,What if I override .equals to check if s != t?,General,,
,,Encapsulation,"Hi, I'm wondering if you have suggestions on how to remove swing from my game state class. I'm creating a typing game, and my game state class is called racetrack. This class is where I create objects that represent the player and the bot, and change their velocity, etc. I was using a keylistener to listen for what keys the user is typing and checking to see if the key they just typed is equal to the next character in my arraylist of characters:I'm also using a timer that goes off every few milliseconds and calls the tick() method to update the position of the bot and the player during the game:","Ok, so to start - your model (RaceTrack) should not know anything about Swing. No Timers, KeyListeners, repaint, etc. Your model should expose simple methods that can be called by the controller, such as handleKeyPress(), tick(), isWinner(), etc. These are the methods that update positions/velocities and other game-state related stuff based on the current state. The UI view should handle key events / timer and call the model's functions with the relevant data as input. For example, a key listener in the UI view should parse the keypress or the position of the mouse click on the screen into data that can be passed into a move() function. (Ex: if your character could move left and right only, you could parse the keypress and have an if-else statement that calls move(String direction) with ""LEFT "" for ""A"" and ""RIGHT"" for ""D"". The keypress isn't exposed to the model, but you derive what it means before passing it in. These are just examples. So I would start by making another file and carefully separating the two functions. One file for the model (doesn't interact with Swing at all) and one file for the UI (calls the model functions based on user input).","Ok, so to start - your model (RaceTrack) should not know anything about Swing. No Timers, KeyListeners, repaint, etc. Your model should expose simple methods that can be called by the controller, such as handleKeyPress(), tick(), isWinner(), etc. These are the methods that update positions/velocities and other game-state related stuff based on the current state. The UI view should handle key events / timer and call the model's functions with the relevant data as input. For example, a key listener in the UI view should parse the keypress or the position of the mouse click on the screen into data that can be passed into a move() function. (Ex: if your character could move left and right only, you could parse the keypress and have an if-else statement that calls move(String direction) with ""LEFT "" for ""A"" and ""RIGHT"" for ""D"". The keypress isn't exposed to the model, but you derive what it means before passing it in. These are just examples. So I would start by making another file and carefully separating the two functions. One file for the model (doesn't interact with Swing at all) and one file for the UI (calls the model functions based on user input).",General,,
,,Autograder error,"Hi, I submitted my final project, but I'm getting this error. Could someone please let me know how to fix this?",It seems like you're using JUnit 4 instead of JUnit 5.,It seems like you're using JUnit 4 instead of JUnit 5.,Homework,,
,,25 Spring midterm,"why is p.allies.contains(new FrontCamel(""Wei Rich"")) true?","Given that contains is defined as above, we would call o.equals(new FrontCamel(""Wei Rich"") on each Object o in allies (of type LinkedList&lt;CamelGamesMember&gt;).This is how we've defined equals in the CamelGamesMember class. Notice how we're just checking that the id's are equal and the name is structurally equal (or both null). So if we pass a new FrontCamel to f.contains() with the same ID and name as f, then this would return true.","Given that contains is defined as above, we would call o.equals(new FrontCamel(""Wei Rich"") on each Object o in allies (of type LinkedList&lt;CamelGamesMember&gt;).This is how we've defined equals in the CamelGamesMember class. Notice how we're just checking that the id's are equal and the name is structurally equal (or both null). So if we pass a new FrontCamel to f.contains() with the same ID and name as f, then this would return true.",Exams,,
,,Gradescope compile error with subpackages,"I organized my game into a couple of folders, but Gradescope is showing the package names as invalid.Should I flatten everything out into one package by hand or is there something else I can try?",Hopefully you were able to fix this but I think its because you renamed the import?,Hopefully you were able to fix this but I think its because you renamed the import?,Homework,,
